Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3372-1368-6845-16514,2020-08-17,1597642228,Charged,lmi,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,MYR,16.03,0.96,16.99,SEGAMAT,JOHOR,85000,MY
GPA.3372-1368-6845-16514,2020-08-17,1597643207,Refund,lmi,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,MYR,16.03,-0.96,-16.99,SEGAMAT,JOHOR,85000,MY
GPA.3313-2366-4081-14971,2020-08-18,1597782145,Charged,OP4BFB,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,125.00,0.00,125.00,,,35000,TH
GPA.3327-2179-3270-96896,2020-08-22,1598068434,Charged,Y51,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,66.00,0.00,66.00,,,95110,TH
GPA.3378-9683-0944-58854,2020-08-24,1598300569,Charged,Uranium,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,33140,TH
GPA.3327-2179-3270-96896,2020-08-25,1598328239,Refund,Y51,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,66.00,0.00,-66.00,,,95110,TH
GPA.3301-5421-4259-59716,2020-08-26,1598482934,Charged,RMX2030,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,ปราจีน,ปราจีนบุรี,25000,TH
GPA.3398-1639-2489-86597,2020-08-27,1598488713,Charged,beyond2,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3398-7394-2994-26028,2020-08-27,1598532160,Charged,OP4883,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3355-1738-0542-65665,2020-08-27,1598549805,Charged,1906,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3350-2709-3631-91343,2020-08-29,1598741002,Charged,HWCRR,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,SAR,4.69,0.70,5.39,ارياض,,,SA
GPA.3301-5421-4259-59716,2020-08-29,1598742730,Refund,RMX2030,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,ปราจีน,ปราจีนบุรี,25000,TH
GPA.3398-1639-2489-86597,2020-08-30,1598748514,Refund,beyond2,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3312-2481-6114-96246,2020-08-30,1598782794,Charged,U304AA,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,1.49,0.00,1.49,PLACENTIA,CA,92870,US
GPA.3398-7394-2994-26028,2020-08-30,1598791960,Refund,OP4883,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3355-1738-0542-65665,2020-08-30,1598809605,Refund,1906,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,-39.00,,,,TH
GPA.3385-1468-1205-19157,2020-08-31,1598870073,Charged,j2lte,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
GPA.3366-6041-5508-34200,2020-08-31,1598879414,Charged,I619,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,10510,TH
GPA.3336-3427-0731-60329,2020-08-31,1598890801,Charged,a11q,Remove all Ads forever (Currency Exchange App - Money Converter App),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,THB,39.00,0.00,39.00,,,,TH
