Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3376-3913-8093-18153,2021-10-01,1633049327,Charged,beyond0q,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,USD,2.99,0.00,2.99,North Charleston,SC,29406,US,,
GPA.3390-4791-4433-01660,2021-10-01,1633050200,Charged,XQ-BT52,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,HKD,48.00,0.00,48.00,Sha Tin,New Territories,,HK,,
GPA.3382-4047-9232-75182,2021-10-01,1633054807,Charged,a51,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,NZD,4.17,0.62,4.79,,,3600,NZ,,
GPA.3364-4132-0501-16326,2021-10-01,1633057001,Charged,p3s,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.55,0.00,6.55,Sfv Catamarca,Buenos Aires,4700,AR,,
GPA.3370-2956-4535-33754,2021-10-01,1633065523,Charged,ASUS_I001_1,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,JPY,680.00,0.00,680.00,飯能市双柳,埼玉県,357-0021,JP,,
GPA.3363-4264-2639-32549,2021-10-01,1633066467,Charged,joyeuse,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,SEK,52.00,13.00,65.00,,,,SE,,
GPA.3394-1476-1611-60422,2021-10-01,1633069596,Charged,a22,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,TZS,"14,000.00",0.00,"14,000.00",Dar Es Salaam,,35191,TZ,,
GPA.3353-9401-5984-11826,2021-10-01,1633069970,Charged,beyond1,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.41,1.08,6.49,,,,FR,,
GPA.3361-5920-9251-33103,2021-10-01,1633074140,Charged,a70q,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.28,1.21,6.49,,,,PT,,
GPA.3335-2912-2603-70529,2021-10-01,1633075963,Charged,2023,All Document - No ads forever (Documents App: Word Document Free - Open Office),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,IDR,"81,000.00","8,100.00","89,100.00",,,78124,ID,,
