Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible
GPA.3310-5963-4586-63156,2022-06-01,1654042433,Charged,fiji, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,128.45,20.55,149.00,,,31230,MX,,,4992313473829035528,Yes
GPA.3363-7142-8796-13920,2022-06-01,1654045092,Charged,r8q,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GBP,4.57,0.92,5.49,,,,GB,,,4992313473829035528,Yes
GPA.3353-0062-3670-25344,2022-06-01,1654050145,Charged,F0030UU, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.49,0.00,6.49,Tustin,CA,92780,US,,,4992313473829035528,Yes
GPA.3367-9980-5595-22096,2022-06-01,1654051673,Charged,OP4EFDL1,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,PKR,950.00,0.00,950.00,Faisalabad,,38000,PK,,,4992313473829035528,Yes
GPA.3321-7687-7013-45377..6,2022-06-01,1654052286,Charged,,Pro Version -  Monthly Subscription (Pic Collage - Layout - Collage),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,USD,3.99,0.24,4.23,Coatesville,PA,19320,US,,,4992313473829035528,Yes
GPA.3325-1540-9135-42100,2022-06-01,1654065070,Charged,OP516FL1,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,DKK,47.20,11.80,59.00,,,,DK,,,4992313473829035528,Yes
GPA.3394-6587-6742-47673,2022-06-01,1654066983,Charged,a70q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,GBP,2.24,0.45,2.69,,,,GB,,,4992313473829035528,Yes
GPA.3356-5531-6151-55162,2022-06-01,1654069769,Charged,a7y18lte, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,GBP,4.57,0.92,5.49,,,,GB,,,4992313473829035528,Yes
GPA.3319-2053-0422-37841,2022-06-01,1654071727,Charged,rubenswifi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,GBP,5.41,1.08,6.49,,,,GB,,,4992313473829035528,Yes
GPA.3375-4173-8849-05250,2022-06-01,1654077255,Charged,r8s, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.28,1.21,6.49,,,,PT,,,4992313473829035528,Yes
GPA.3334-9763-0165-20861,2022-06-01,1654084751,Charged,c2s,Premium Version -  Permanly (Pic Collage - Layout - Collage),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,EUR,5.13,1.36,6.49,,,,DE,,,4992313473829035528,Yes
GPA.3355-2692-2500-75747,2022-06-01,1654090311,Charged,HWMAR,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,CHF,2.80,0.00,2.80,Zuerich,,8047,CH,,,4992313473829035528,Yes
GPA.3332-7547-5765-45186,2022-06-01,1654093257,Charged,c1s, PDF Reader - Permanent Premium (PDF Reader - PDF Viewer),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CLP,"5,042.00",958.00,"6,000.00",,,,CL,,,4992313473829035528,Yes
GPA.3394-6234-5047-88724,2022-06-01,1654101813,Charged,a32x,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Fortaleza,CE,60135215,BR,,,4992313473829035528,Yes
GPA.3317-8517-6849-53854,2022-06-01,1654105366,Charged,d2s,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CLP,"4,454.00",846.00,"5,300.00",,,,CL,,,4992313473829035528,Yes
