Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3380-3784-7790-22796,2022-12-01,1669852851,Charged,a53x,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,CAD,3.79,0.49,4.28,Shallow Lake,ON,N0H 2K0,CA,,,4992313473829035528,Yes,,,
GPA.3381-3972-1037-67342..4,2022-12-01,1669854468,Charged,,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,EUR,3.24,0.75,3.99,,,,PT,p1m,,4992313473829035528,Yes,,,
GPA.3389-0630-5229-76098..0,2022-12-01,1669855564,Charged,,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,USD,4.49,0.43,4.92,MOUNT VERNON,IL,62864,US,p1m,,4992313473829035528,Yes,,,
GPA.3370-3331-8936-98088,2022-12-01,1669872990,Charged,q4q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,VND,"69,000.00",0.00,"69,000.00",,,,VN,,,4992313473829035528,Yes,,,
GPA.3346-2859-9614-15435..1,2022-12-01,1669880525,Charged,,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,CAD,5.49,0.71,6.20,Las Vegas,ON,M5A 1Z4,CA,p1m,,4992313473829035528,Yes,,,
GPA.3307-5627-8975-92575,2022-12-01,1669883714,Charged,a70q,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,SAR,23.47,3.52,26.99,,,,SA,,,4992313473829035528,Yes,,,
GPA.3306-3153-3025-45375,2022-12-01,1669895822,Charged,star2lte,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.99,1.00,5.99,,,,FR,,,4992313473829035528,Yes,,,
GPA.3306-4372-8901-51211..1,2022-12-01,1669896475,Charged,,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,EUR,3.79,0.80,4.59,,,,BE,p1m,,4992313473829035528,Yes,,,
GPA.3350-5002-8010-28455,2022-12-01,1669898456,Charged,b0q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,THB,111.21,7.79,119.00,,,,TH,,,4992313473829035528,Yes,,,
GPA.3370-1846-1946-86928,2022-12-01,1669898763,Charged,a73xq,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,PHP,525.00,0.00,525.00,,,5000,PH,,,4992313473829035528,Yes,,,
GPA.3341-0069-3784-41903,2022-12-01,1669910566,Charged,Armor_3WT,No more Ads 4ever (File Viewer: View Documents),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,UAH,166.66,33.33,199.99,Kyiv,,02225,UA,,,4992313473829035528,Yes,,,
GPA.3338-6711-6970-92635,2022-12-01,1669931028,Charged,y2s, PDF Reader - Permanent Premium (PDF Tools: PDF Reader - Editor),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.45,1.04,6.49,,,,DE,,,4992313473829035528,Yes,,,
GPA.3353-0519-2088-31775,2022-12-01,1669934083,Charged,Augusta,Premium Version -  Forever (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,inapp,iapforever,USD,12.99,0.00,12.99,ORANGE,CA,92865,US,,,4992313473829035528,Yes,,,
GPA.3321-2197-7798-84061,2022-12-01,1669934565,Refund,OnePlusN200TMO,removeads (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,removeads,USD,2.99,-0.25,-3.24,HOUSTON,TX,77004,US,,,4992313473829035528,Yes,,,
GPA.3399-1819-2147-77674,2022-12-02,1669945546,Charged,a30,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Maricá,RJ,24913090,BR,,,4992313473829035528,Yes,,,
GPA.3318-3101-4482-27266,2022-12-02,1669962644,Charged,g0s,No more Ads 4ever (File Viewer: View Documents),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.71,1.28,7.99,,,,DE,,,4992313473829035528,Yes,,,
GPA.3300-3535-1461-03251,2022-12-02,1669969055,Charged,vili,Remove all Ads forever (Currency Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,RON,11.76,2.23,13.99,,,,RO,,,4992313473829035528,Yes,,,
GPA.3322-8994-1192-08425,2022-12-02,1669976092,Charged,a53x,Premium Version -  Permanently (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,inapp,removeadssale,BRL,47.99,0.00,47.99,Patrocínio,MG,38740000,BR,,,4992313473829035528,Yes,,,
GPA.3383-6601-9922-03667,2022-12-02,1669976576,Charged,a52sxq,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,EUR,5.78,1.21,6.99,,,,NL,p1y,,4992313473829035528,Yes,,,
GPA.3316-7889-6859-78084,2022-12-02,1669979158,Charged,x20le_edp_14_v21,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.99,1.00,5.99,,,,FR,,,4992313473829035528,Yes,,,
GPA.3358-6499-9710-45928,2022-12-02,1669980548,Charged,c2q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,KRW,"3,636.00",364.00,"4,000.00",,,06081,KR,,,4992313473829035528,Yes,,,
GPA.3336-8672-1874-78704..1,2022-12-02,1669980792,Charged,,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,PKR,750.00,0.00,750.00,Lahore,,,PK,p1m,,4992313473829035528,Yes,,,
GPA.3319-0729-8952-64388,2022-12-02,1669981261,Charged,sweet,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,4.95,1.04,5.99,,,,ES,,,4992313473829035528,Yes,,,
GPA.3374-8048-6012-00305..9,2022-12-02,1669985057,Charged,,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,THB,140.19,9.81,150.00,อำเภอเมือง,นครปฐม,73000,TH,p1m,,4992313473829035528,Yes,,,
GPA.3300-5846-5622-85244,2022-12-02,1669989022,Charged,HWMRD-M1,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,HRK,28.80,7.20,36.00,,,,HR,p1m,,4992313473829035528,Yes,,,
GPA.3342-6265-5559-30794..0,2022-12-02,1669991356,Charged,,Premium Version -  Yearly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iap1year,HRK,39.20,9.80,49.00,,,,HR,,,4992313473829035528,Yes,,,
GPA.3314-7620-0843-97005,2022-12-02,1669997738,Charged,p3s,Remove all Ads forever (Currency Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,ILS,9.80,0.00,9.80,Tel Aviv,,6527609,IL,,,4992313473829035528,Yes,,,
GPA.3376-6296-0831-30424,2022-12-02,1669998455,Charged,beyond2,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,MAD,45.83,9.16,54.99,Nador,,62000,MA,,,4992313473829035528,Yes,,,
