Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3363-5775-1416-57665,2021-07-01,1625135769,Charged,beyond2,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,BRL,29.99,0.00,29.99,Goiânia,GO,74477281,BR
GPA.3372-2904-4418-81539,2021-07-01,1625140810,Charged,apollo,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,4.95,1.04,5.99,,,,ES
GPA.3357-8977-6220-71710,2021-07-01,1625141401,Refund,a51,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,GBP,3.57,-0.75,-5.49,,,,GB
GPA.3396-2639-1292-96439,2021-07-01,1625146615,Charged,guam,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,Maceió,AL,57082140,BR
GPA.3302-3733-2033-20509,2021-07-01,1625148790,Charged,hatch_cheets,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,JPY,320.00,0.00,320.00,,,5950035,JP
GPA.3386-5312-0094-60584,2021-07-01,1625150728,Charged,HWMAR,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,PEN,10.99,0.00,10.99,Parcoy Pataz,LA LIBERTAD,,PE
GPA.3336-3573-9017-35977,2021-07-01,1625151619,Charged,a21s,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,EUR,2.45,0.54,2.99,,,,IT
GPA.3382-8759-5219-89247,2021-07-01,1625151730,Charged,star2qltesq,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,5.99,0.00,5.99,UNINCORPORATED,CA,93004,US
GPA.3303-5367-2609-15663,2021-07-01,1625153382,Charged,d2s,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CHF,5.60,0.00,5.60,Bottenwil,,4814,CH
GPA.3336-9159-1668-17415,2021-07-01,1625158704,Charged,htc_ocla1_sprout,remove all ads forever (PDF Reader - PDF Viewer For Android Free),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.03,0.96,5.99,,,,DE
GPA.3324-1033-1779-00301,2021-07-01,1625174690,Charged,on5xelte,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,BRL,15.99,0.00,15.99,Rio de Janeiro,RJ,22011010,BR
GPA.3318-4618-9515-60292,2021-07-01,1625182106,Charged,beyond2q,removeads (Pro Compass - Free Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,USD,2.99,0.21,3.20,MORVEN,NC,28170,US
GPA.3321-5482-8447-15914,2021-07-02,1625185623,Charged,redfin,remove ads sale (Scanner App - PDF Scanner Apps For Free),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,AUD,8.17,0.82,8.99,,,3150,AU
GPA.3382-5200-9461-30474,2021-07-02,1625188871,Charged,a50,"Remove all Ads forever (Currency exchange, Rate exchange & Money exchange)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,USD,2.99,0.00,2.99,Libreville,,,GA
