Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3333-9215-9635-26651,2022-01-01,1640998282,Charged,q2q, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,KRW,"7,273.00",727.00,"8,000.00",,,06001,KR,,
GPA.3307-0558-1739-72941,2022-01-01,1640998464,Charged,q2q, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,iapevent,KRW,"4,545.00",455.00,"5,000.00",,,06001,KR,,
GPA.3391-5585-8175-55703,2022-01-01,1640999516,Charged,CPH1912,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,VND,"143,000.00",0.00,"143,000.00",,,,VN,,
GPA.3369-7923-4224-18216,2022-01-01,1641003305,Charged,c2s,"Remove all Ads forever (Currency Convert,Exchange Rate)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,GBP,2.16,0.43,2.59,,,,GB,,
GPA.3351-8679-0298-27872,2022-01-01,1641008121,Charged,Apollo_8_4G_TMO,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,0.62,8.11,DALLAS,TX,75241,US,,
GPA.3340-9415-1483-07597,2022-01-01,1641017705,Charged,beyond1,"Remove all Ads forever (Currency Convert,Exchange Rate)",currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,RUB,224.17,44.83,269.00,Москва,Москва,115408,RU,,
GPA.3304-5819-5977-42777,2022-01-01,1641020395,Charged,HWVNS-H,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.71,1.28,7.99,,,,DE,,
GPA.3320-3641-3197-95490,2022-01-01,1641022696,Charged,on7xelte,No Ads Forever (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,idtest1,INR,322.03,57.97,380.00,knr,Telangana,506468,IN,,
GPA.3341-0123-7401-06593,2022-01-01,1641023175,Charged,OP4F11L1,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Surat,Gujarat,394180,IN,,
GPA.3327-7492-7797-87823,2022-01-01,1641024757,Charged,a30s,removeads (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,THB,84.11,5.89,90.00,,,12000,TH,,
GPA.3305-0521-0799-30513,2022-01-01,1641033628,Charged,kiev,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,CZK,132.22,27.77,159.99,,,,CZ,,
GPA.3378-7504-0629-61775,2022-01-01,1641040759,Charged,2041,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,CZK,165.28,34.71,199.99,,,,CZ,,
GPA.3352-7898-2953-68348,2022-01-01,1641044515,Charged,karna,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,BRL,30.99,0.00,30.99,Nova Esperança,PR,87083170,BR,,
GPA.3331-5309-4421-12153,2022-01-01,1641047619,Charged,a12u,Buy remove Ads and Compass themes forever (Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,iapforever,USD,2.99,0.25,3.24,Edna,TX,77957,US,,
GPA.3312-4248-5332-40777,2022-01-01,1641053892,Charged,a51,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,HUF,"1,803.00",487.00,"2,290.00",,,,HU,,
GPA.3343-1476-4810-24869,2022-01-01,1641056899,Charged,TECNO-KE5k, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,24.34,3.65,27.99,,,55323,SA,,
GPA.3306-6135-4084-66801,2022-01-01,1641066004,Charged,o1s, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CZK,140.49,29.50,169.99,,,,CZ,,
GPA.3309-9479-6270-84523,2022-01-01,1641069836,Charged,IRM_sprout, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,KES,689.66,110.34,800.00,,,00100,KE,,
GPA.3308-5934-2513-81738,2022-01-01,1641072037,Charged,gts7xlwifi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.66,1.33,7.99,,,,AT,,
GPA.3323-0454-6255-66564,2022-01-01,1641074416,Charged,C22, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.45,1.04,6.49,,,,DE,,
GPA.3341-2887-1789-19554,2022-01-01,1641077184,Charged,a30,Remove all ads (PDF Converter: Photo To PDF),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,BRL,16.99,0.00,16.99,Abadia de Goiás,GO,74988150,BR,,
GPA.3304-8861-2612-76986,2022-01-01,1641077697,Charged,foles,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,USD,7.49,0.69,8.18,San Tan Valley,AZ,85143,US,,
GPA.3372-1052-6675-82461,2022-01-01,1641078160,Charged,HWSTK-HF,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.44,1.55,7.99,,,,GR,,
GPA.3375-9634-9408-01169,2022-01-01,1641079449,Charged,gts7fewifi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,CLP,"6,050.00","1,150.00","7,200.00",,,,CL,,
GPA.3331-5502-6598-86526,2022-01-02,1641082477,Charged,crownlte, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,EUR,5.36,1.13,6.49,,,,ES,,
GPA.3318-7118-3291-21911,2022-01-02,1641085568,Charged,gts7xlwifi,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,CAD,9.49,1.13,10.62,Victoria,BC,V8X 5A3,CA,,
GPA.3309-4259-4037-31114,2022-01-02,1641100461,Charged,Nord,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Tirunelveli,Tamil Nadu,627011,IN,,
GPA.3378-8342-1995-57982,2022-01-02,1641100980,Charged,OP4F4DL1,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.50,1.49,7.99,,,,PT,,
GPA.3304-5819-5977-42777,2022-01-02,1641106584,Refund,HWVNS-H,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,EUR,6.71,-1.28,-7.99,,,,DE,,
