Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible
GPA.3397-3326-3318-25638,2022-05-01,1651363715,Charged,a32x, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,TWD,181.00,9.00,190.00,,,303,TW,,,4992313473829035528,Yes
GPA.3367-1379-6289-72750,2022-05-01,1651375639,Charged,veux,Buy remove ads forever (Text Image - Image Maker App),com.volio.textonphoto.writeonphotos.phototexteditor,inapp,percentofsaleremoveads,MYR,21.69,1.30,22.99,,,42500,MY,,,4992313473829035528,Yes
GPA.3373-3376-7305-43927,2022-05-01,1651376945,Charged,a70q, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,128.45,20.55,149.00,,,25915,MX,,,4992313473829035528,Yes
GPA.3313-9727-0933-30380,2022-05-01,1651379129,Charged,HWMRD-M1,No more Ads 4ever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,idtest3,DKK,47.20,11.80,59.00,,,,DK,,,4992313473829035528,Yes
GPA.3307-7866-6408-17642,2022-05-01,1651379347,Charged,OP4F1FL1,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,MYR,25.46,1.53,26.99,,,08000,MY,,,4992313473829035528,Yes
GPA.3379-4684-3127-60426,2022-05-01,1651379645,Charged,r5q, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,MXN,128.45,20.55,149.00,,,95110,MX,,,4992313473829035528,Yes
GPA.3393-0934-0645-65283,2022-05-01,1651379802,Charged,odessa,Buy remove ads forever (Text Image - Image Maker App),com.volio.textonphoto.writeonphotos.phototexteditor,inapp,percentofsaleremoveads,PEN,20.99,0.00,20.99,La Oroya,JUNÍN,,PE,,,4992313473829035528,Yes
GPA.3342-6665-4251-17101,2022-05-01,1651379969,Charged,astro, PDF Reader - Permanent Premium (PDF Reader - PDF Expert),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,CRC,"4,000.00",0.00,"4,000.00",Heredia,HEREDIA,,CR,,,4992313473829035528,Yes
GPA.3334-0879-3218-70336,2022-05-01,1651381323,Charged,HWPOT-H,Remove all Ads forever (Currency Converter),currency.currencyconverter.currencyexchangeapp,inapp,iapremoveads,EUR,2.43,0.46,2.89,,,,DE,,,4992313473829035528,Yes
GPA.3380-4410-6600-66732,2022-05-01,1651383642,Charged,a22x,Remove ads Forever (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,EUR,5.03,0.96,5.99,,,,DE,,,4992313473829035528,Yes
