Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate
GPA.3389-0630-5229-76098,2022-11-01,1667263708,Charged,guamna,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,USD,4.49,0.43,4.92,MOUNT VERNON,IL,62864,US,p1m,,4992313473829035528,Yes,,,
GPA.3338-5054-8700-89836,2022-11-01,1667274069,Charged,b2q," PDF Reader - Permanent Premium (PDF Reader: Viewer, Printer)",com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,KRW,"7,273.00",727.00,"8,000.00",,,10364,KR,,,4992313473829035528,Yes,,,
GPA.3325-3464-0273-44639,2022-11-01,1667279470,Charged,OP532FL1,Pro Version -  Monthly Subscription (Collage Maker: Photo Layout),com.volio.layout.photocollage.collagemaker,subscription,iapmonthly,THB,140.19,9.81,150.00,บ้านฉาง,ระยอง,21130,TH,p1m,,4992313473829035528,Yes,,,
GPA.3320-6592-8347-87668,2022-11-01,1667287023,Charged,HWSTK-HF," PDF Reader - Permanent Premium (PDF Reader: Viewer, Printer)",com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,SAR,24.34,3.65,27.99,جيزان,,,SA,,,4992313473829035528,Yes,,,
GPA.3346-2859-9614-15435..0,2022-11-01,1667288517,Charged,,Pro Version -  Monthly Subscription (Live Wallpapers - 3D Wallpaper),com.livewallpaper3D.cool.wallpapers.free.wallpaper4K.parallax,subscription,iapmonthly,CAD,5.49,0.71,6.20,Las Vegas,ON,M5A 1Z4,CA,p1m,,4992313473829035528,Yes,,,
GPA.3384-2733-3585-39715,2022-11-01,1667291890,Charged,OnePlus7,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,INR,227.97,41.03,269.00,Pali marwar,Rajasthan,306401,IN,,,4992313473829035528,Yes,,,
GPA.3309-6973-2212-12204,2022-11-01,1667293030,Charged,OP4C4BL1,Buy remove ads forever (Text Image - Image Maker App),com.volio.textonphoto.writeonphotos.phototexteditor,inapp,percentofsaleremoveads,VND,"119,000.00",0.00,"119,000.00",,,,VN,,,4992313473829035528,Yes,,,
GPA.3356-3513-1514-88234,2022-11-01,1667293284,Charged,2126,iapforever (Time Warp Scan - Face warp),com.timewarpscan.timewarpfilter.warpscan.slitscan.facescanner,inapp,iapforever,MYR,16.03,0.96,16.99,,,98000,MY,,,4992313473829035528,Yes,,,
GPA.3383-7379-8435-91853,2022-11-01,1667296994,Charged,LAVIET11112K1,iapforever (Time Warp Scan - Face warp),com.timewarpscan.timewarpfilter.warpscan.slitscan.facescanner,inapp,iapforever,JPY,450.00,0.00,450.00,,,1970013,JP,,,4992313473829035528,Yes,,,
GPA.3306-3641-8901-10533,2022-11-01,1667301473,Charged,b2q,Buy remove Ads and Compass themes forever (Compass: Direction Compass),com.compass.compassapp.compassfree,inapp,iapforever,GBP,2.24,0.45,2.69,,,,GB,,,4992313473829035528,Yes,,,
